Gene stable ID,Gene stable ID version,Chromosome/scaffold name,Gene type
ENSMUSG00000101796,ENSMUSG00000101796.1,Y,lincRNA
ENSMUSG00000101492,ENSMUSG00000101492.1,Y,lincRNA
ENSMUSG00000100968,ENSMUSG00000100968.1,Y,unprocessed_pseudogene
ENSMUSG00000053211,ENSMUSG00000053211.10,Y,protein_coding
ENSMUSG00000069053,ENSMUSG00000069053.11,Y,protein_coding
ENSMUSG00000101036,ENSMUSG00000101036.1,Y,antisense
ENSMUSG00000101107,ENSMUSG00000101107.1,Y,lincRNA
ENSMUSG00000101666,ENSMUSG00000101666.1,Y,processed_pseudogene
ENSMUSG00000056673,ENSMUSG00000056673.14,Y,protein_coding
ENSMUSG00000075874,ENSMUSG00000075874.1,Y,rRNA
ENSMUSG00000106618,ENSMUSG00000106618.1,Y,miRNA
ENSMUSG00000069049,ENSMUSG00000069049.11,Y,protein_coding
ENSMUSG00000099876,ENSMUSG00000099876.1,Y,lincRNA
ENSMUSG00000091749,ENSMUSG00000091749.7,Y,transcribed_unprocessed_pseudogene
ENSMUSG00000068457,ENSMUSG00000068457.14,Y,protein_coding
ENSMUSG00000069045,ENSMUSG00000069045.11,Y,protein_coding
ENSMUSG00000101059,ENSMUSG00000101059.1,Y,processed_pseudogene
ENSMUSG00000099809,ENSMUSG00000099809.1,Y,unprocessed_pseudogene
ENSMUSG00000069044,ENSMUSG00000069044.6,Y,protein_coding
ENSMUSG00000077793,ENSMUSG00000077793.1,Y,snRNA
ENSMUSG00000100842,ENSMUSG00000100842.1,Y,processed_pseudogene
ENSMUSG00000101947,ENSMUSG00000101947.1,Y,processed_pseudogene
ENSMUSG00000100619,ENSMUSG00000100619.1,Y,unprocessed_pseudogene
ENSMUSG00000100877,ENSMUSG00000100877.1,Y,unprocessed_pseudogene
ENSMUSG00000100576,ENSMUSG00000100576.1,Y,unprocessed_pseudogene
ENSMUSG00000100326,ENSMUSG00000100326.1,Y,processed_pseudogene
ENSMUSG00000100356,ENSMUSG00000100356.1,Y,unprocessed_pseudogene
ENSMUSG00000101443,ENSMUSG00000101443.1,Y,processed_pseudogene
ENSMUSG00000000103,ENSMUSG00000000103.12,Y,protein_coding
ENSMUSG00000099614,ENSMUSG00000099614.1,Y,unprocessed_pseudogene
ENSMUSG00000099973,ENSMUSG00000099973.1,Y,unprocessed_pseudogene
ENSMUSG00000099888,ENSMUSG00000099888.1,Y,unprocessed_pseudogene
ENSMUSG00000100445,ENSMUSG00000100445.1,Y,unprocessed_pseudogene
ENSMUSG00000102072,ENSMUSG00000102072.1,Y,unprocessed_pseudogene
ENSMUSG00000101290,ENSMUSG00000101290.1,Y,unprocessed_pseudogene
ENSMUSG00000100103,ENSMUSG00000100103.1,Y,processed_pseudogene
ENSMUSG00000093335,ENSMUSG00000093335.1,Y,miRNA
ENSMUSG00000102120,ENSMUSG00000102120.1,Y,unprocessed_pseudogene
ENSMUSG00000099445,ENSMUSG00000099445.1,Y,unprocessed_pseudogene
ENSMUSG00000094881,ENSMUSG00000094881.3,Y,protein_coding
ENSMUSG00000099748,ENSMUSG00000099748.1,Y,unprocessed_pseudogene
ENSMUSG00000069036,ENSMUSG00000069036.3,Y,protein_coding
ENSMUSG00000101064,ENSMUSG00000101064.1,Y,unprocessed_pseudogene
ENSMUSG00000095573,ENSMUSG00000095573.3,Y,protein_coding
ENSMUSG00000101114,ENSMUSG00000101114.1,Y,unprocessed_pseudogene
ENSMUSG00000102053,ENSMUSG00000102053.1,Y,protein_coding
ENSMUSG00000100700,ENSMUSG00000100700.1,Y,processed_pseudogene
ENSMUSG00000101066,ENSMUSG00000101066.1,Y,processed_pseudogene
ENSMUSG00000094658,ENSMUSG00000094658.7,Y,protein_coding
ENSMUSG00000095852,ENSMUSG00000095852.7,Y,protein_coding
ENSMUSG00000100145,ENSMUSG00000100145.1,Y,processed_pseudogene
ENSMUSG00000099405,ENSMUSG00000099405.1,Y,processed_pseudogene
ENSMUSG00000091987,ENSMUSG00000091987.8,Y,protein_coding
ENSMUSG00000099728,ENSMUSG00000099728.1,Y,processed_pseudogene
ENSMUSG00000101667,ENSMUSG00000101667.1,Y,protein_coding
ENSMUSG00000093918,ENSMUSG00000093918.7,Y,protein_coding
ENSMUSG00000099455,ENSMUSG00000099455.1,Y,processed_pseudogene
ENSMUSG00000094511,ENSMUSG00000094511.7,Y,protein_coding
ENSMUSG00000101141,ENSMUSG00000101141.1,Y,processed_pseudogene
ENSMUSG00000093987,ENSMUSG00000093987.7,Y,protein_coding
ENSMUSG00000100285,ENSMUSG00000100285.1,Y,processed_pseudogene
ENSMUSG00000095948,ENSMUSG00000095948.7,Y,protein_coding
ENSMUSG00000100960,ENSMUSG00000100960.1,Y,processed_pseudogene
ENSMUSG00000099970,ENSMUSG00000099970.1,Y,processed_pseudogene
ENSMUSG00000099660,ENSMUSG00000099660.1,Y,processed_pseudogene
ENSMUSG00000096520,ENSMUSG00000096520.7,Y,protein_coding
ENSMUSG00000101016,ENSMUSG00000101016.1,Y,processed_pseudogene
ENSMUSG00000100360,ENSMUSG00000100360.1,Y,unprocessed_pseudogene
ENSMUSG00000099838,ENSMUSG00000099838.1,Y,unprocessed_pseudogene
ENSMUSG00000100132,ENSMUSG00000100132.1,Y,processed_pseudogene
ENSMUSG00000101030,ENSMUSG00000101030.1,Y,processed_pseudogene
ENSMUSG00000100641,ENSMUSG00000100641.1,Y,processed_pseudogene
ENSMUSG00000101145,ENSMUSG00000101145.1,Y,processed_pseudogene
ENSMUSG00000100656,ENSMUSG00000100656.1,Y,processed_pseudogene
ENSMUSG00000100082,ENSMUSG00000100082.1,Y,processed_pseudogene
ENSMUSG00000101712,ENSMUSG00000101712.1,Y,unprocessed_pseudogene
ENSMUSG00000101558,ENSMUSG00000101558.1,Y,unprocessed_pseudogene
ENSMUSG00000100753,ENSMUSG00000100753.1,Y,unprocessed_pseudogene
ENSMUSG00000101499,ENSMUSG00000101499.1,Y,unprocessed_pseudogene
ENSMUSG00000101108,ENSMUSG00000101108.1,Y,unprocessed_pseudogene
ENSMUSG00000100300,ENSMUSG00000100300.1,Y,unprocessed_pseudogene
ENSMUSG00000100683,ENSMUSG00000100683.1,Y,unprocessed_pseudogene
ENSMUSG00000102088,ENSMUSG00000102088.6,Y,transcribed_unprocessed_pseudogene
ENSMUSG00000099514,ENSMUSG00000099514.1,Y,unprocessed_pseudogene
ENSMUSG00000100446,ENSMUSG00000100446.1,Y,lincRNA
ENSMUSG00000102680,ENSMUSG00000102680.1,Y,TEC
ENSMUSG00000099684,ENSMUSG00000099684.6,Y,transcribed_unprocessed_pseudogene
ENSMUSG00000100984,ENSMUSG00000100984.1,Y,lincRNA
ENSMUSG00000100137,ENSMUSG00000100137.1,Y,unprocessed_pseudogene
ENSMUSG00000100958,ENSMUSG00000100958.1,Y,lincRNA
ENSMUSG00000099575,ENSMUSG00000099575.1,Y,unprocessed_pseudogene
ENSMUSG00000100597,ENSMUSG00000100597.1,Y,lincRNA
ENSMUSG00000099410,ENSMUSG00000099410.1,Y,unprocessed_pseudogene
ENSMUSG00000093927,ENSMUSG00000093927.2,Y,protein_coding
ENSMUSG00000101212,ENSMUSG00000101212.1,Y,unprocessed_pseudogene
ENSMUSG00000101041,ENSMUSG00000101041.1,Y,lincRNA
ENSMUSG00000118417,ENSMUSG00000118417.1,Y,unprocessed_pseudogene
